rust-guidelines	warning	bundled-reference	guides/README.md:69	inline link	./14-cli-tools/09-common-pitfalls.md	rust-guidelines/guides/14-cli-tools/09-common-pitfalls.md	transitional-warning	current guide links a file not shipped in the package; Arc 02 will harmonise or remove the reference
rust-guidelines	warning	bundled-reference	guides/14-cli-tools/README.md:159	inline link	09-common-pitfalls.md	rust-guidelines/guides/14-cli-tools/09-common-pitfalls.md	transitional-warning	current guide links a file not shipped in the package; Arc 02 will harmonise or remove the reference
rust-guidelines	warning	bundled-reference	guides/14-cli-tools/README.md:221	inline link	09-common-pitfalls.md#cli-49	rust-guidelines/guides/14-cli-tools/09-common-pitfalls.md	transitional-warning	current guide links a file not shipped in the package; Arc 02 will harmonise or remove the reference
rust-guidelines	warning	bundled-reference	guides/14-cli-tools/README.md:222	inline link	09-common-pitfalls.md#cli-50	rust-guidelines/guides/14-cli-tools/09-common-pitfalls.md	transitional-warning	current guide links a file not shipped in the package; Arc 02 will harmonise or remove the reference
rust-guidelines	warning	bundled-reference	guides/14-cli-tools/README.md:223	inline link	09-common-pitfalls.md#cli-51	rust-guidelines/guides/14-cli-tools/09-common-pitfalls.md	transitional-warning	current guide links a file not shipped in the package; Arc 02 will harmonise or remove the reference
rust-guidelines	warning	bundled-reference	guides/14-cli-tools/README.md:224	inline link	09-common-pitfalls.md#cli-52	rust-guidelines/guides/14-cli-tools/09-common-pitfalls.md	transitional-warning	current guide links a file not shipped in the package; Arc 02 will harmonise or remove the reference
cpp-guidelines	warning	bundled-reference	guides/03-functions.md:704	inline link	./param-passing-normal.png	cpp-guidelines/guides/param-passing-normal.png	transitional-warning	current guide links images not shipped in the package; Arc 02 will harmonise or remove the references
cpp-guidelines	warning	bundled-reference	guides/03-functions.md:708	inline link	./param-passing-advanced.png	cpp-guidelines/guides/param-passing-advanced.png	transitional-warning	current guide links images not shipped in the package; Arc 02 will harmonise or remove the references
javascript-deno-guidelines	warning	bundled-reference	guides/11-documentation.md:794	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/11-documentation.md:794	code span	12-deno/02-testing.md	javascript-deno-guidelines/guides/12-deno/02-testing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
